store_id,store_name,model_id,model_name,price_tier,successor_launch_status,units_at_risk,risk_triggers,recent_two_week_sales,prior_six_week_avg_sales,capital_at_risk,markdown_pct,markdown_cost,weeks_until_forced_action,probability_unsold_at_deadline,transfer_target,transfer_cost,hold_opportunity_cost,hold_markdown_risk_cost,hold_total_cost,recommended_action,recommended_cost,reasoning
BLR-04,MobiMart Whitefield,F15,Pixel 10 Pro,flagship,confirmed,2,past peak with declining store trend,1.5,2.6666666666666665,184022,0.19999999999999998,36804.399999999994,2.0,0.8400000000000001,,,1273.9984615384615,54102.468,55376.46646153846,MARKDOWN,36804.399999999994,"MobiMart Whitefield, Pixel 10 Pro, 2 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (20%): Rs 36,804 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 1,274 opportunity cost + Rs 54,102 markdown risk = Rs 55,376
RECOMMENDED: MARKDOWN at Rs 36,804"
MAN-01,MobiMart Court Road,F15,Pixel 10 Pro,flagship,confirmed,1,past peak with declining store trend; last two weeks below 40% of prior six-week average,0.0,1.1666666666666667,92011,0.27,24842.97,6.0,0.2,BLR-03,705.5011506849315,1910.9976923076922,6440.77,8351.767692307692,TRANSFER,705.5011506849315,"MobiMart Court Road, Pixel 10 Pro, 1 units at risk (past peak with declining store trend; last two weeks below 40% of prior six-week average; no successor within four weeks):
- Markdown (27%): Rs 24,843 margin lost
- Transfer: Rs 706; Transfer target MobiMart Indiranagar at Rs 524/unit plus 4-day holding cost.
- Hold: Rs 1,911 opportunity cost + Rs 6,441 markdown risk = Rs 8,352
RECOMMENDED: TRANSFER at Rs 706"
BLR-04,MobiMart Whitefield,F12,iPhone 17 Pro,flagship,confirmed,1,past peak with declining store trend; last two weeks below 40% of prior six-week average,0.0,1.0,98296,0.28500000000000003,28014.360000000004,6.0,0.2,,,2041.5323076923073,6880.72,8922.252307692308,HOLD,8922.252307692308,"MobiMart Whitefield, iPhone 17 Pro, 1 units at risk (past peak with declining store trend; last two weeks below 40% of prior six-week average; no successor within four weeks):
- Markdown (29%): Rs 28,014 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 2,042 opportunity cost + Rs 6,881 markdown risk = Rs 8,922
RECOMMENDED: HOLD at Rs 8,922"
BLR-01,MobiMart Jayanagar,F15,Pixel 10 Pro,flagship,confirmed,1,past peak with declining store trend,1.0,1.1666666666666667,92011,0.19999999999999998,18402.199999999997,1.0,0.98,,,318.49961538461537,31559.772999999997,31878.272615384612,MARKDOWN,18402.199999999997,"MobiMart Jayanagar, Pixel 10 Pro, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (20%): Rs 18,402 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 318 opportunity cost + Rs 31,560 markdown risk = Rs 31,878
RECOMMENDED: MARKDOWN at Rs 18,402"
BLR-02,MobiMart Koramangala,F15,Pixel 10 Pro,flagship,confirmed,2,past peak with declining store trend,1.5,2.0,184022,0.19999999999999998,36804.399999999994,2.0,0.8400000000000001,,,1273.9984615384615,54102.468,55376.46646153846,MARKDOWN,36804.399999999994,"MobiMart Koramangala, Pixel 10 Pro, 2 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (20%): Rs 36,804 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 1,274 opportunity cost + Rs 54,102 markdown risk = Rs 55,376
RECOMMENDED: MARKDOWN at Rs 36,804"
BLR-04,MobiMart Whitefield,F13,OnePlus 14,flagship,confirmed,1,past peak with declining store trend,1.0,1.5,60399,0.28125,16987.21875,1.0,0.98,,,209.07346153846154,20716.856999999996,20925.930461538457,MARKDOWN,16987.21875,"MobiMart Whitefield, OnePlus 14, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (28%): Rs 16,987 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 209 opportunity cost + Rs 20,717 markdown risk = Rs 20,926
RECOMMENDED: MARKDOWN at Rs 16,987"
BLR-02,MobiMart Koramangala,F12,iPhone 17 Pro,flagship,confirmed,1,past peak with declining store trend,0.5,0.8333333333333334,98296,0.28500000000000003,28014.360000000004,2.0,0.8400000000000001,,,680.5107692307691,28899.024,29579.53476923077,MARKDOWN,28014.360000000004,"MobiMart Koramangala, iPhone 17 Pro, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (29%): Rs 28,014 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 681 opportunity cost + Rs 28,899 markdown risk = Rs 29,580
RECOMMENDED: MARKDOWN at Rs 28,014"
MYS-01,MobiMart Devaraja Mohalla,M15,Vivo V51e,mid,confirmed,1,past peak with declining store trend,1.0,1.8333333333333333,26653,0.19999999999999998,5330.599999999999,1.0,0.98,,,92.26038461538461,9141.979,9234.239384615385,MARKDOWN,5330.599999999999,"MobiMart Devaraja Mohalla, Vivo V51e, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (20%): Rs 5,331 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 92 opportunity cost + Rs 9,142 markdown risk = Rs 9,234
RECOMMENDED: MARKDOWN at Rs 5,331"
BLR-04,MobiMart Whitefield,F16,Xiaomi 16,flagship,confirmed,1,past peak with declining store trend,0.5,0.8333333333333334,54216,0.16874999999999998,9148.949999999999,2.0,0.8400000000000001,,,375.34153846153845,15939.504,16314.845538461539,MARKDOWN,9148.949999999999,"MobiMart Whitefield, Xiaomi 16, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (17%): Rs 9,149 margin lost
- Transfer: unavailable; No better-fit store is available without creating another at-risk position.
- Hold: Rs 375 opportunity cost + Rs 15,940 markdown risk = Rs 16,315
RECOMMENDED: MARKDOWN at Rs 9,149"
MAN-01,MobiMart Court Road,F14,Vivo X210,flagship,confirmed,1,past peak with declining store trend,0.5,0.6666666666666666,57882,0.24375,14108.7375,2.0,0.8400000000000001,BLR-04,912.1781917808219,400.72153846153844,17017.308,17418.02953846154,TRANSFER,912.1781917808219,"MobiMart Court Road, Vivo X210, 1 units at risk (past peak with declining store trend; no successor within four weeks):
- Markdown (24%): Rs 14,109 margin lost
- Transfer: Rs 912; Transfer target MobiMart Whitefield at Rs 798/unit plus 4-day holding cost.
- Hold: Rs 401 opportunity cost + Rs 17,017 markdown risk = Rs 17,418
RECOMMENDED: TRANSFER at Rs 912"
